0180841,秋田県,由利本荘市,加賀沢,アキタケン,ユリホンジョウシ,カガサワ
0180734,秋田県,由利本荘市,北福田,アキタケン,ユリホンジョウシ,キタフクダ
0180852,秋田県,由利本荘市,葛岡,アキタケン,ユリホンジョウシ,クズオカ
0180903,秋田県,由利本荘市,小栗山,アキタケン,ユリホンジョウシ,コグリヤマ
0180907,秋田県,由利本荘市,坂部,アキタケン,ユリホンジョウシ,サカベ
0180842,秋田県,由利本荘市,新沢,アキタケン,ユリホンジョウシ,シンサワ
0180902,秋田県,由利本荘市,新田,アキタケン,ユリホンジョウシ,シンデン
0180844,秋田県,由利本荘市,高尾,アキタケン,ユリホンジョウシ,タカオ
0180905,秋田県,由利本荘市,滝,アキタケン,ユリホンジョウシ,タキ
0180732,秋田県,由利本荘市,徳沢,アキタケン,ユリホンジョウシ,トクサワ
0180853,秋田県,由利本荘市,長坂,アキタケン,ユリホンジョウシ,ナガサカ
0180901,秋田県,由利本荘市,中田代,アキタケン,ユリホンジョウシ,ナカタシロ
0180722,秋田県,由利本荘市,中館,アキタケン,ユリホンジョウシ,ナカダテ
0180843,秋田県,由利本荘市,中帳,アキタケン,ユリホンジョウシ,ナカチョウ
0180845,秋田県,由利本荘市,中俣,アキタケン,ユリホンジョウシ,ナカノマタ
0180601,秋田県,由利本荘市,西目町海士剥,アキタケン,ユリホンジョウシ,ニシメマチアマハギ
0180602,秋田県,由利本荘市,西目町出戸,アキタケン,ユリホンジョウシ,ニシメマチデト
0180603,秋田県,由利本荘市,西目町西目,アキタケン,ユリホンジョウシ,ニシメマチニシメ
0180604,秋田県,由利本荘市,西目町沼田,アキタケン,ユリホンジョウシ,ニシメマチヌマタ
0180854,秋田県,由利本荘市,及位,アキタケン,ユリホンジョウシ,ノゾキ
0180906,秋田県,由利本荘市,羽広,アキタケン,ユリホンジョウシ,ハビロ
0180851,秋田県,由利本荘市,平岫,アキタケン,ユリホンジョウシ,ヒラグキ
0180724,秋田県,由利本荘市,深沢,アキタケン,ユリホンジョウシ,フカサワ
0180855,秋田県,由利本荘市,松本,アキタケン,ユリホンジョウシ,マツモト
0180725,秋田県,由利本荘市,米坂,アキタケン,ユリホンジョウシ,ヨネザカ
0181400,秋田県,潟上市,,アキタケン,カタガミシ,
0181504,秋田県,潟上市,飯田川飯塚,アキタケン,カタガミシ,イイタガワイイヅカ
0181501,秋田県,潟上市,飯田川金山,アキタケン,カタガミシ,イイタガワカネヤマ
0181502,秋田県,潟上市,飯田川下虻川,アキタケン,カタガミシ,イイタガワシモアブカワ
0181503,秋田県,潟上市,飯田川和田妹川,アキタケン,カタガミシ,イイタガワワダイモカワ
0181401,秋田県,潟上市,昭和大久保,アキタケン,カタガミシ,ショウワオオクボ
0181412,秋田県,潟上市,昭和豊川岡井戸,アキタケン,カタガミシ,ショウワトヨカワオカイド
0181411,秋田県,潟上市,昭和豊川上虻川,アキタケン,カタガミシ,ショウワトヨカワカミアブカワ
0181414,秋田県,潟上市,昭和豊川槻木,アキタケン,カタガミシ,ショウワトヨカワツキノキ
0181413,秋田県,潟上市,昭和豊川船橋,アキタケン,カタガミシ,ショウワトヨカワフナバシ
0181416,秋田県,潟上市,昭和豊川山田,アキタケン,カタガミシ,ショウワトヨカワヤマダ
0181415,秋田県,潟上市,昭和豊川竜毛,アキタケン,カタガミシ,ショウワトヨカワリュウゲ
0181403,秋田県,潟上市,昭和八丁目,アキタケン,カタガミシ,ショウワハッチョウメ
0181402,秋田県,潟上市,昭和乱橋,アキタケン,カタガミシ,ショウワミダレバシ
0183300,秋田県,北秋田市,,アキタケン,キタアキタシ,
0183313,秋田県,北秋田市,旭町,アキタケン,キタアキタシ,アサヒチョウ
0184621,秋田県,北秋田市,阿仁荒瀬,アキタケン,キタアキタシ,アニアラセ
0184623,秋田県,北秋田市,阿仁荒瀬川櫃畑,アキタケン,キタアキタシ,アニアラセガワヒツハタ
0184731,秋田県,北秋田市,阿仁打当,アキタケン,キタアキタシ,アニウットウ
0184743,秋田県,北秋田市,阿仁笑内,アキタケン,キタアキタシ,アニオカシナイ
0184624,秋田県,北秋田市,阿仁鍵ノ滝,アキタケン,キタアキタシ,アニカギノタキ
0184745,秋田県,北秋田市,阿仁萱草,アキタケン,キタアキタシ,アニカヤクサ
0184613,秋田県,北秋田市,阿仁銀山,アキタケン,キタアキタシ,アニギンザン
0184741,秋田県,北秋田市,阿仁幸屋,アキタケン,キタアキタシ,アニコウヤ
0184742,秋田県,北秋田市,阿仁幸屋渡,アキタケン,キタアキタシ,アニコウヤワタリ
0184603,秋田県,北秋田市,阿仁小様,アキタケン,キタアキタシ,アニコザマ
0184622,秋田県,北秋田市,阿仁小沢鉱山,アキタケン,キタアキタシ,アニコサワコウザン
0184602,秋田県,北秋田市,阿仁小渕,アキタケン,キタアキタシ,アニコブチ
0184604,秋田県,北秋田市,阿仁三枚鉱山,アキタケン,キタアキタシ,アニサンマイコウザン
0184733,秋田県,北秋田市,阿仁戸鳥内,アキタケン,キタアキタシ,アニトトリナイ
0184734,秋田県,北秋田市,阿仁長畑,アキタケン,キタアキタシ,アニナガハタケ
0184732,秋田県,北秋田市,阿仁中村,アキタケン,キタアキタシ,アニナカムラ
0184744,秋田県,北秋田市,阿仁根子,アキタケン,キタアキタシ,アニネッコ
0184735,秋田県,北秋田市,阿仁比立内,アキタケン,キタアキタシ,アニヒタチナイ
0184746,秋田県,北秋田市,阿仁伏影,アキタケン,キタアキタシ,アニフシカゲ
0184515,秋田県,北秋田市,阿仁前田,アキタケン,キタアキタシ,アニマエダ
0184612,秋田県,北秋田市,阿仁真木沢鉱山,アキタケン,キタアキタシ,アニマギサワコウザン
0184611,秋田県,北秋田市,阿仁水無,アキタケン,キタアキタシ,アニミズナシ
0184601,秋田県,北秋田市,阿仁吉田,アキタケン,キタアキタシ,アニヨシダ
0183314,秋田県,北秋田市,伊勢町,アキタケン,キタアキタシ,イセチョウ
